time,temperature_2m,wind_speed_10m,shortwave_radiation
2025-07-10 00:00:00,15.2,6.4,0.0
2025-07-10 01:00:00,14.7,6.0,0.0
2025-07-10 02:00:00,14.0,6.4,0.0
2025-07-10 03:00:00,13.5,6.0,0.0
2025-07-10 04:00:00,13.3,5.4,0.0
2025-07-10 05:00:00,13.1,5.8,0.0
2025-07-10 06:00:00,12.8,4.4,13.8
2025-07-10 07:00:00,13.2,4.7,89.5
2025-07-10 08:00:00,14.4,4.9,135.0
2025-07-10 09:00:00,15.7,5.1,183.2
2025-07-10 10:00:00,16.6,6.9,221.2
2025-07-10 11:00:00,17.4,8.1,193.2
2025-07-10 12:00:00,18.1,10.0,221.0
2025-07-10 13:00:00,19.6,8.8,371.5
2025-07-10 14:00:00,20.6,7.7,422.0
2025-07-10 15:00:00,21.5,11.8,468.8
2025-07-10 16:00:00,21.5,13.4,485.2
2025-07-10 17:00:00,21.1,14.0,503.8
2025-07-10 18:00:00,20.7,14.7,435.5
2025-07-10 19:00:00,20.6,15.3,346.8
2025-07-10 20:00:00,18.9,14.8,202.5
2025-07-10 21:00:00,17.7,12.1,95.0
2025-07-10 22:00:00,16.7,8.2,13.5
2025-07-10 23:00:00,15.7,7.0,0.0
2025-07-11 00:00:00,15.2,6.1,0.0
2025-07-11 01:00:00,14.8,5.9,0.0
2025-07-11 02:00:00,14.5,5.9,0.2
2025-07-11 03:00:00,14.1,4.7,0.0
2025-07-11 04:00:00,14.1,4.7,0.0
2025-07-11 05:00:00,14.1,4.9,0.0
2025-07-11 06:00:00,14.2,4.3,10.8
2025-07-11 07:00:00,14.9,3.3,61.0
2025-07-11 08:00:00,16.0,5.7,124.5
2025-07-11 09:00:00,17.6,8.7,245.0
2025-07-11 10:00:00,19.1,10.6,343.5
2025-07-11 11:00:00,19.9,10.4,455.8
2025-07-11 12:00:00,21.2,12.8,552.0
2025-07-11 13:00:00,21.7,13.4,544.5
2025-07-11 14:00:00,22.0,14.7,526.2
2025-07-11 15:00:00,22.7,13.5,539.0
2025-07-11 16:00:00,22.7,14.2,596.0
2025-07-11 17:00:00,22.6,13.1,479.2
2025-07-11 18:00:00,22.2,13.8,420.2
2025-07-11 19:00:00,21.2,15.0,362.2
2025-07-11 20:00:00,19.8,14.3,228.0
2025-07-11 21:00:00,18.6,12.9,93.5
2025-07-11 22:00:00,17.4,11.9,13.2
2025-07-11 23:00:00,16.5,10.6,0.0
2025-07-12 00:00:00,16.0,10.0,0.2
2025-07-12 01:00:00,16.0,9.2,0.0
2025-07-12 02:00:00,15.7,9.4,0.2
2025-07-12 03:00:00,15.5,9.0,0.0
2025-07-12 04:00:00,15.5,9.1,0.0
2025-07-12 05:00:00,15.5,9.3,0.0
2025-07-12 06:00:00,15.2,12.2,10.0
2025-07-12 07:00:00,15.8,12.4,72.0
2025-07-12 08:00:00,16.9,11.9,118.0
2025-07-12 09:00:00,18.0,11.7,144.0
2025-07-12 10:00:00,19.0,14.5,150.0
2025-07-12 11:00:00,18.6,14.2,194.0
2025-07-12 12:00:00,18.3,13.3,195.0
2025-07-12 13:00:00,18.9,10.9,228.0
2025-07-12 14:00:00,19.7,11.5,237.0
2025-07-12 15:00:00,19.5,12.0,179.0
2025-07-12 16:00:00,19.2,9.4,146.0
2025-07-12 17:00:00,19.8,8.0,197.0
2025-07-12 18:00:00,20.5,7.3,214.0
2025-07-12 19:00:00,20.5,9.1,137.0
2025-07-12 20:00:00,20.2,7.6,104.0
2025-07-12 21:00:00,19.5,7.2,49.0
2025-07-12 22:00:00,18.5,7.8,9.0
2025-07-12 23:00:00,17.7,7.4,0.0
2025-07-13 00:00:00,17.1,7.3,0.0
2025-07-13 01:00:00,16.6,7.4,0.0
2025-07-13 02:00:00,15.9,6.8,0.0
2025-07-13 03:00:00,15.2,6.5,0.0
2025-07-13 04:00:00,14.8,6.0,0.0
2025-07-13 05:00:00,14.7,4.7,0.0
2025-07-13 06:00:00,14.6,4.0,8.0
2025-07-13 07:00:00,15.3,4.7,65.0
2025-07-13 08:00:00,16.3,5.5,187.0
2025-07-13 09:00:00,17.3,5.8,286.0
2025-07-13 10:00:00,18.5,5.9,390.0
2025-07-13 11:00:00,19.6,6.2,482.0
2025-07-13 12:00:00,20.8,6.5,554.0
2025-07-13 13:00:00,22.0,6.5,600.0
2025-07-13 14:00:00,22.7,6.8,609.0
2025-07-13 15:00:00,22.6,7.2,571.0
2025-07-13 16:00:00,22.1,8.3,500.0
2025-07-13 17:00:00,21.6,8.9,427.0
2025-07-13 18:00:00,21.3,8.4,370.0
2025-07-13 19:00:00,20.9,7.5,303.0
2025-07-13 20:00:00,20.3,6.6,208.0
2025-07-13 21:00:00,19.3,5.9,100.0
2025-07-13 22:00:00,18.0,4.8,19.0
2025-07-13 23:00:00,16.9,4.1,0.0
2025-07-14 00:00:00,16.1,3.6,0.0
2025-07-14 01:00:00,15.5,3.1,0.0
2025-07-14 02:00:00,14.9,2.9,0.0
2025-07-14 03:00:00,14.4,2.6,0.0
2025-07-14 04:00:00,14.0,2.0,0.0
2025-07-14 05:00:00,13.8,1.5,0.0
2025-07-14 06:00:00,13.9,0.7,11.0
2025-07-14 07:00:00,14.1,1.3,52.0
2025-07-14 08:00:00,14.9,1.8,108.0
2025-07-14 09:00:00,16.6,2.0,188.0
2025-07-14 10:00:00,18.8,3.3,296.0
2025-07-14 11:00:00,20.7,5.4,408.0
2025-07-14 12:00:00,22.0,7.9,503.0
2025-07-14 13:00:00,22.9,10.4,576.0
2025-07-14 14:00:00,23.7,12.6,617.0
2025-07-14 15:00:00,24.4,14.1,623.0
2025-07-14 16:00:00,24.9,14.4,591.0
2025-07-14 17:00:00,25.0,14.5,523.0
2025-07-14 18:00:00,24.6,13.6,427.0
2025-07-14 19:00:00,23.7,11.8,315.0
2025-07-14 20:00:00,22.7,10.0,193.0
2025-07-14 21:00:00,21.3,6.8,80.0
2025-07-14 22:00:00,19.8,3.2,12.0
2025-07-14 23:00:00,18.5,2.4,0.0
2025-07-15 00:00:00,17.7,3.3,0.0
2025-07-15 01:00:00,17.2,4.6,0.0
2025-07-15 02:00:00,16.8,5.0,0.0
2025-07-15 03:00:00,16.2,6.5,0.0
2025-07-15 04:00:00,16.2,7.9,0.0
2025-07-15 05:00:00,16.3,9.5,0.0
2025-07-15 06:00:00,16.4,11.1,10.0
2025-07-15 07:00:00,16.5,13.0,48.0
2025-07-15 08:00:00,16.9,14.6,103.0
2025-07-15 09:00:00,17.9,16.5,196.0
2025-07-15 10:00:00,19.2,18.2,335.0
2025-07-15 11:00:00,20.4,19.0,475.0
2025-07-15 12:00:00,21.5,18.8,573.0
2025-07-15 13:00:00,22.5,18.8,625.0
2025-07-15 14:00:00,23.1,19.8,642.0
2025-07-15 15:00:00,23.1,20.4,626.0
2025-07-15 16:00:00,22.7,20.1,573.0
2025-07-15 17:00:00,22.1,18.8,488.0
2025-07-15 18:00:00,21.3,15.8,376.0
2025-07-15 19:00:00,20.3,12.1,260.0
2025-07-15 20:00:00,19.2,8.8,161.0
2025-07-15 21:00:00,17.9,6.5,80.0
2025-07-15 22:00:00,16.6,5.1,18.0
2025-07-15 23:00:00,15.5,4.7,0.0
2025-07-16 00:00:00,15.1,6.0,0.0
2025-07-16 01:00:00,14.9,8.2,0.0
2025-07-16 02:00:00,14.8,9.7,0.0
2025-07-16 03:00:00,14.5,10.0,0.0
2025-07-16 04:00:00,14.2,9.7,0.0
2025-07-16 05:00:00,14.1,9.7,0.0
2025-07-16 06:00:00,14.2,10.0,10.0
2025-07-16 07:00:00,14.4,10.7,48.0
2025-07-16 08:00:00,14.8,11.2,100.0
2025-07-16 09:00:00,15.4,10.7,162.0
2025-07-16 10:00:00,16.1,9.5,236.0
2025-07-16 11:00:00,16.8,8.9,313.0
2025-07-16 12:00:00,17.3,9.0,388.0
2025-07-16 13:00:00,17.8,10.0,453.0
2025-07-16 14:00:00,18.2,10.4,485.0
2025-07-16 15:00:00,18.6,10.7,463.0
2025-07-16 16:00:00,18.8,11.5,407.0
2025-07-16 17:00:00,18.9,13.0,352.0
2025-07-16 18:00:00,18.8,15.0,315.0
2025-07-16 19:00:00,18.5,16.8,267.0
2025-07-16 20:00:00,18.0,17.1,188.0
2025-07-16 21:00:00,16.8,14.8,90.0
2025-07-16 22:00:00,15.4,11.8,17.0
2025-07-16 23:00:00,14.2,10.6,0.0
